category,config_id,n,success_count,success_rate
add_logging,1,12,12,1.0
add_tests,1,12,12,1.0
benchmark,1,12,3,0.25
bug_fix,1,12,9,0.75
rename,1,12,12,1.0
add_logging,2,12,12,1.0
add_tests,2,12,12,1.0
benchmark,2,12,3,0.25
bug_fix,2,12,9,0.75
rename,2,12,12,1.0
add_logging,3,12,12,1.0
add_tests,3,12,12,1.0
benchmark,3,12,5,0.416667
bug_fix,3,12,9,0.75
rename,3,12,12,1.0
add_logging,4,12,12,1.0
add_tests,4,12,10,0.833333
benchmark,4,12,8,0.666667
bug_fix,4,12,9,0.75
rename,4,12,12,1.0
add_logging,5,12,12,1.0
add_tests,5,12,10,0.833333
benchmark,5,12,3,0.25
bug_fix,5,12,9,0.75
rename,5,12,12,1.0
add_logging,6,12,12,1.0
add_tests,6,12,12,1.0
benchmark,6,12,6,0.5
bug_fix,6,12,10,0.833333
rename,6,12,12,1.0
