task_id,task_category,source,tier,config_id,config_label,success_count,success_rate,mean_tool_calls,first_tool_families,n
addlog-t2-01,add_logging,controlled,2,1,c1 Claude Code / Haiku,3,1.0,4.0,"{""read"": 3}",3
addlog-t2-01,add_logging,controlled,2,2,c2 OpenCode / Haiku,3,1.0,4.333333,"{""read"": 3}",3
addlog-t2-01,add_logging,controlled,2,3,c3 Hermes / Haiku,3,1.0,3.666667,"{""read"": 3}",3
addlog-t2-01,add_logging,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,5.666667,"{""search"": 3}",3
addlog-t2-01,add_logging,controlled,2,5,c5 Hermes / GPT-mini,3,1.0,4.666667,"{""search"": 3}",3
addlog-t2-01,add_logging,controlled,2,6,c6 Codex / GPT-mini,3,1.0,4.666667,"{""shell"": 3}",3
addlog-t2-02,add_logging,controlled,2,1,c1 Claude Code / Haiku,3,1.0,3.666667,"{""read"": 3}",3
addlog-t2-02,add_logging,controlled,2,2,c2 OpenCode / Haiku,3,1.0,4.333333,"{""read"": 3}",3
addlog-t2-02,add_logging,controlled,2,3,c3 Hermes / Haiku,3,1.0,4.0,"{""read"": 3}",3
addlog-t2-02,add_logging,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,5.0,"{""search"": 3}",3
addlog-t2-02,add_logging,controlled,2,5,c5 Hermes / GPT-mini,3,1.0,5.333333,"{""search"": 3}",3
addlog-t2-02,add_logging,controlled,2,6,c6 Codex / GPT-mini,3,1.0,7.666667,"{""shell"": 3}",3
addlog-t2-03,add_logging,controlled,2,1,c1 Claude Code / Haiku,3,1.0,4.0,"{""read"": 3}",3
addlog-t2-03,add_logging,controlled,2,2,c2 OpenCode / Haiku,3,1.0,5.0,"{""read"": 3}",3
addlog-t2-03,add_logging,controlled,2,3,c3 Hermes / Haiku,3,1.0,4.0,"{""read"": 3}",3
addlog-t2-03,add_logging,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,5.0,"{""search"": 3}",3
addlog-t2-03,add_logging,controlled,2,5,c5 Hermes / GPT-mini,3,1.0,4.0,"{""search"": 3}",3
addlog-t2-03,add_logging,controlled,2,6,c6 Codex / GPT-mini,3,1.0,5.0,"{""shell"": 3}",3
addlog-t2-04,add_logging,controlled,2,1,c1 Claude Code / Haiku,3,1.0,4.0,"{""read"": 3}",3
addlog-t2-04,add_logging,controlled,2,2,c2 OpenCode / Haiku,3,1.0,5.0,"{""read"": 3}",3
addlog-t2-04,add_logging,controlled,2,3,c3 Hermes / Haiku,3,1.0,4.333333,"{""read"": 3}",3
addlog-t2-04,add_logging,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,5.0,"{""search"": 3}",3
addlog-t2-04,add_logging,controlled,2,5,c5 Hermes / GPT-mini,3,1.0,4.666667,"{""search"": 3}",3
addlog-t2-04,add_logging,controlled,2,6,c6 Codex / GPT-mini,3,1.0,5.0,"{""shell"": 3}",3
addtests-t2-01,add_tests,controlled,2,1,c1 Claude Code / Haiku,3,1.0,6.333333,"{""read"": 2, ""search"": 1}",3
addtests-t2-01,add_tests,controlled,2,2,c2 OpenCode / Haiku,3,1.0,8.0,"{""read"": 3}",3
addtests-t2-01,add_tests,controlled,2,3,c3 Hermes / Haiku,3,1.0,5.0,"{""read"": 2, ""search"": 1}",3
addtests-t2-01,add_tests,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,8.333333,"{""search"": 3}",3
addtests-t2-01,add_tests,controlled,2,5,c5 Hermes / GPT-mini,3,1.0,5.0,"{""search"": 3}",3
addtests-t2-01,add_tests,controlled,2,6,c6 Codex / GPT-mini,3,1.0,8.0,"{""shell"": 3}",3
addtests-t2-02,add_tests,controlled,2,1,c1 Claude Code / Haiku,3,1.0,6.0,"{""read"": 3}",3
addtests-t2-02,add_tests,controlled,2,2,c2 OpenCode / Haiku,3,1.0,8.0,"{""read"": 3}",3
addtests-t2-02,add_tests,controlled,2,3,c3 Hermes / Haiku,3,1.0,4.666667,"{""read"": 3}",3
addtests-t2-02,add_tests,controlled,2,4,c4 OpenCode / GPT-mini,1,0.333333,8.0,"{""search"": 3}",3
addtests-t2-02,add_tests,controlled,2,5,c5 Hermes / GPT-mini,1,0.333333,7.0,"{""search"": 3}",3
addtests-t2-02,add_tests,controlled,2,6,c6 Codex / GPT-mini,3,1.0,8.333333,"{""shell"": 3}",3
addtests-t2-03,add_tests,controlled,2,1,c1 Claude Code / Haiku,3,1.0,6.0,"{""read"": 3}",3
addtests-t2-03,add_tests,controlled,2,2,c2 OpenCode / Haiku,3,1.0,7.666667,"{""read"": 3}",3
addtests-t2-03,add_tests,controlled,2,3,c3 Hermes / Haiku,3,1.0,4.666667,"{""read"": 1, ""search"": 2}",3
addtests-t2-03,add_tests,controlled,2,4,c4 OpenCode / GPT-mini,3,1.0,7.666667,"{""search"": 3}",3
